Date,Open,High,Low,Symbol,Volume
2025-02-27,3611.699951171875,3638.0,3600.699951171875,TCS.NS,3823856
2025-02-28,3584.949951171875,3600.0,3457.0,TCS.NS,7085018
2025-03-03,3485.0,3523.25,3476.14990234375,TCS.NS,4990439
2025-03-04,3474.0,3551.0,3464.300048828125,TCS.NS,2797737
2025-03-05,3520.85009765625,3600.35009765625,3520.85009765625,TCS.NS,2501894
2025-03-06,3557.0,3609.449951171875,3536.10009765625,TCS.NS,2786513
2025-03-07,3600.0,3625.0,3574.39990234375,TCS.NS,2051315
2025-03-10,3606.5,3622.10009765625,3582.60009765625,TCS.NS,1004626
2025-03-11,3558.0,3588.75,3537.64990234375,TCS.NS,1995450
2025-03-12,3565.0,3569.25,3486.85009765625,TCS.NS,3174167
2025-03-13,3502.300048828125,3524.300048828125,3484.10009765625,TCS.NS,1693004
2025-03-17,3489.0,3530.449951171875,3477.35009765625,TCS.NS,2690906
2025-03-18,3497.699951171875,3497.699951171875,3497.699951171875,TCS.NS,0
2025-03-19,3547.0,3547.0,3462.75,TCS.NS,3051244
2025-03-20,3512.0,3578.949951171875,3512.0,TCS.NS,2845192
2025-03-21,3475.0,3616.25,3465.0,TCS.NS,4161925
2025-03-24,3600.0,3649.75,3566.60009765625,TCS.NS,1834751
2025-03-25,3645.0,3710.0,3638.0,TCS.NS,3135390
2025-03-26,3647.75,3680.5,3625.85009765625,TCS.NS,1734499
2025-03-27,3614.85009765625,3663.0,3610.5,TCS.NS,2528474
2025-03-28,3651.0,3660.949951171875,3591.89990234375,TCS.NS,2051919
2025-04-01,3572.699951171875,3584.0,3525.0,TCS.NS,2618493
2025-04-02,3544.0,3564.10009765625,3530.050048828125,TCS.NS,1764313
2025-04-03,3491.0,3502.0,3396.14990234375,TCS.NS,4537821
2025-04-04,3362.60009765625,3399.64990234375,3295.5,TCS.NS,5317367
2025-04-07,3100.0,3291.39990234375,3056.050048828125,TCS.NS,6623955
2025-04-08,3302.050048828125,3349.0,3255.300048828125,TCS.NS,5557558
2025-04-09,3260.550048828125,3270.0,3212.050048828125,TCS.NS,2990265
2025-04-11,3289.550048828125,3298.949951171875,3206.0,TCS.NS,7108961
2025-04-15,3314.39990234375,3314.39990234375,3238.60009765625,TCS.NS,3512160
2025-04-16,3248.199951171875,3278.10009765625,3229.0,TCS.NS,2384391
2025-04-17,3245.5,3303.60009765625,3218.0,TCS.NS,2932346
2025-04-21,3290.10009765625,3354.0,3284.10009765625,TCS.NS,2432946
2025-04-22,3322.60009765625,3333.89990234375,3295.0,TCS.NS,2710498
2025-04-23,3365.0,3420.89990234375,3337.300048828125,TCS.NS,3543923
2025-04-24,3401.10009765625,3412.5,3387.699951171875,TCS.NS,2252175
2025-04-25,3420.0,3477.800048828125,3405.0,TCS.NS,2742991
2025-04-28,3435.0,3457.800048828125,3405.0,TCS.NS,1593296
2025-04-29,3455.0,3495.0,3430.39990234375,TCS.NS,1578332
2025-04-30,3472.0,3509.89990234375,3366.0,TCS.NS,2809332
2025-05-02,3472.0,3491.5,3420.0,TCS.NS,1721761
2025-05-05,3450.0,3504.5,3446.39990234375,TCS.NS,1284443
2025-05-06,3460.0,3473.0,3437.0,TCS.NS,1324763
2025-05-07,3420.60009765625,3459.5,3420.60009765625,TCS.NS,1477128
2025-05-08,3448.0,3477.0,3428.699951171875,TCS.NS,2543591
2025-05-09,3399.0,3446.199951171875,3398.10009765625,TCS.NS,2531757
2025-05-12,3505.0,3630.5,3502.199951171875,TCS.NS,2228678
2025-05-13,3620.39990234375,3623.0,3510.5,TCS.NS,3062887
2025-05-14,3521.0,3561.0,3508.60009765625,TCS.NS,2119499
2025-05-15,3564.0,3600.0,3514.10009765625,TCS.NS,3548330
2025-05-16,3593.89990234375,3593.89990234375,3546.10009765625,TCS.NS,1666727
2025-05-19,3550.0,3550.0,3503.699951171875,TCS.NS,2537377
2025-05-20,3531.800048828125,3558.0,3494.0,TCS.NS,2038374
2025-05-21,3508.0,3537.0,3498.300048828125,TCS.NS,1440153
2025-05-22,3495.0,3497.800048828125,3451.300048828125,TCS.NS,2034383
2025-05-23,3477.0,3535.0,3465.60009765625,TCS.NS,1274331
2025-05-26,3521.0,3545.0,3510.10009765625,TCS.NS,967470
2025-05-27,3532.0,3540.0,3483.10009765625,TCS.NS,2467680
2025-05-28,3520.0,3529.0,3493.0,TCS.NS,1222933
2025-05-29,3504.699951171875,3532.5,3486.5,TCS.NS,3188072
2025-05-30,3490.0,3506.699951171875,3453.10009765625,TCS.NS,3404365
2025-06-02,3450.0,3460.0,3418.60009765625,TCS.NS,1877585
2025-06-03,3446.0,3473.5,3400.5,TCS.NS,2848125
2025-06-04,3389.0,3394.800048828125,3370.0,TCS.NS,2544807
2025-06-05,3409.0,3409.0,3363.699951171875,TCS.NS,3584683
2025-06-06,3371.10009765625,3390.89990234375,3358.699951171875,TCS.NS,2070390
2025-06-09,3400.0,3434.0,3390.89990234375,TCS.NS,1718678
2025-06-10,3440.0,3485.800048828125,3423.199951171875,TCS.NS,2419874
2025-06-11,3470.0,3489.0,3449.10009765625,TCS.NS,2847013
2025-06-12,3471.89990234375,3474.699951171875,3423.199951171875,TCS.NS,4060134
2025-06-13,3393.199951171875,3450.5,3393.199951171875,TCS.NS,2178493
2025-06-16,3440.0,3509.0,3426.199951171875,TCS.NS,1934088
2025-06-17,3510.0,3520.0,3488.10009765625,TCS.NS,2111940
2025-06-18,3519.10009765625,3538.0,3443.10009765625,TCS.NS,2696327
2025-06-19,3450.0,3451.0,3413.0,TCS.NS,2672768
2025-06-20,3425.0,3446.300048828125,3410.89990234375,TCS.NS,2351248
2025-06-23,3415.0,3425.0,3370.0,TCS.NS,3123421
2025-06-24,3434.60009765625,3442.10009765625,3382.0,TCS.NS,3403048
2025-06-25,3407.300048828125,3450.0,3400.0,TCS.NS,1757699
2025-06-26,3444.800048828125,3451.39990234375,3415.300048828125,TCS.NS,2879106
2025-06-27,3455.0,3466.39990234375,3431.0,TCS.NS,1778433
2025-06-30,3439.89990234375,3464.89990234375,3430.0,TCS.NS,1468351
2025-07-01,3455.0,3485.0,3413.5,TCS.NS,2375183
2025-07-02,3487.199951171875,3489.89990234375,3420.0,TCS.NS,3090585
2025-07-03,3430.0,3435.300048828125,3397.60009765625,TCS.NS,2531870
2025-07-04,3408.0,3427.0,3390.10009765625,TCS.NS,1109320
2025-07-07,3418.300048828125,3426.10009765625,3408.39990234375,TCS.NS,1639174
2025-07-08,3405.0,3425.0,3393.39990234375,TCS.NS,2325242
2025-07-09,3410.0,3414.0,3367.0,TCS.NS,2034938
2025-07-10,3380.0,3399.0,3356.0,TCS.NS,3035012
2025-07-11,3299.89990234375,3335.0,3261.10009765625,TCS.NS,7635550
2025-07-14,3266.0,3272.0,3200.0,TCS.NS,3924009
